gameId,blueWins,blueWardsPlaced,blueWardsDestroyed,blueFirstBlood,blueKills,blueDeaths,blueAssists,blueDragons,blueHeralds,blueTowersDestroyed,blueTotalMinionsKilled,blueTotalJungleMinionsKilled,blueGoldDiff,blueExperienceDiff,redWardsPlaced,redWardsDestroyed,redFirstBlood,redKills,redDeaths,redAssists,redDragons,redHeralds,redTowersDestroyed,redTotalMinionsKilled,redTotalJungleMinionsKilled,redGoldDiff,redExperienceDiff
4519157822,0,28,2,1,9,6,11,0,0,0,195,36,643,-8,15,6,0,6,9,8,0,0,0,197,55,-643,8
4523371949,0,12,1,0,5,5,5,0,0,0,174,43,-2908,-1173,12,1,1,5,5,2,1,1,1,240,52,2908,1173
4521474530,0,15,0,0,7,11,4,1,0,0,186,46,-1172,-1033,15,3,1,11,7,14,0,0,0,203,28,1172,1033
4524384067,0,43,1,0,4,5,5,0,1,0,201,55,-1321,-7,15,2,1,5,4,10,0,0,0,235,47,1321,7
4436033771,0,75,4,0,6,6,6,0,0,0,210,57,-1004,230,17,2,1,6,6,7,1,0,0,225,67,1004,-230
4475365709,1,18,0,0,5,3,6,1,0,0,225,42,698,101,36,5,1,3,5,2,0,0,0,221,59,-698,-101
4493010632,1,18,3,1,7,6,7,1,0,0,225,53,2411,1563,57,1,0,6,7,9,0,0,0,164,35,-2411,-1563
4496759358,0,16,2,0,5,13,3,0,0,0,209,48,-2615,-800,15,0,1,13,5,11,1,0,0,157,54,2615,800
4443048030,0,16,3,0,7,7,8,0,0,0,189,61,-1979,-771,15,2,1,7,7,5,1,1,0,240,53,1979,771
4509433346,1,13,1,1,4,5,5,1,0,0,220,39,-1548,-1574,16,2,0,5,4,4,0,0,0,247,43,1548,1574
4452162573,0,20,3,1,4,4,6,0,0,0,231,28,331,-1585,15,2,0,4,4,5,1,0,0,216,51,-331,1585
4453038156,0,33,2,1,11,11,7,0,1,0,157,40,-1505,-635,17,1,0,11,11,9,0,0,0,188,52,1505,635
4515594785,1,18,1,1,7,1,11,1,0,0,238,53,3274,1659,12,1,0,1,7,1,0,0,0,240,50,-3274,-1659
4524924257,0,14,3,0,4,9,1,0,1,0,210,52,-3414,-1141,20,3,1,9,4,11,0,0,0,229,51,3414,1141
4516505202,1,15,3,1,4,4,4,0,0,0,224,51,-470,-187,102,1,0,4,4,3,0,0,0,242,48,470,187
4482120064,0,17,1,0,3,7,3,0,0,0,209,53,-1996,-1804,18,3,1,7,3,13,0,0,0,237,51,1996,1804
4523758462,1,14,1,1,10,2,8,0,0,0,263,56,5228,3378,13,2,0,2,10,2,1,0,0,210,64,-5228,-3378
4503636905,0,43,3,0,3,7,3,0,1,0,203,54,-1975,-1345,17,14,1,7,3,6,0,0,0,218,53,1975,1345
4486384947,1,21,4,1,5,4,11,0,0,0,213,49,882,512,19,3,0,4,5,3,1,1,0,228,52,-882,-512
4457103291,0,11,3,0,5,9,5,0,0,0,188,48,-3155,-2773,15,1,1,9,5,9,0,0,0,219,56,3155,2773
4472164226,1,14,3,1,11,6,15,1,0,0,214,45,2526,1625,12,2,0,6,11,4,0,0,0,225,48,-2526,-1625
4445294621,0,13,1,0,4,13,5,0,0,0,203,43,-2835,-2821,15,3,1,13,4,14,1,0,0,209,45,2835,2821
4480384157,0,17,2,0,4,6,3,0,0,0,238,56,-1254,-567,16,3,1,6,4,10,1,0,0,231,60,1254,567
4520898233,0,78,4,0,4,3,4,1,1,0,238,67,406,1283,15,3,1,3,4,3,0,0,0,220,64,-406,-1283
4522124566,1,33,3,0,6,9,10,0,0,0,208,45,-1020,493,18,3,1,9,6,13,0,0,0,197,36,1020,-493
4523978853,0,17,1,0,4,8,4,0,0,0,204,44,-2472,-1067,19,2,1,8,4,13,1,0,0,221,36,2472,1067
4507834811,1,18,1,0,8,6,9,1,0,0,209,44,1260,-55,10,3,1,6,8,3,0,0,0,233,36,-1260,55
4501319968,0,19,3,1,7,4,9,0,0,0,228,61,1857,2015,14,4,0,4,7,2,1,0,0,202,49,-1857,-2015
4519148589,0,105,5,1,8,6,13,1,0,0,217,53,1320,-413,65,3,0,6,8,11,0,0,0,223,40,-1320,413
4484877784,0,18,5,0,3,8,2,1,0,0,233,52,-3282,-1647,18,3,1,8,3,12,0,0,0,225,52,3282,1647
4466931235,1,22,7,1,9,4,10,1,0,0,228,40,2883,2111,21,4,0,4,9,2,0,0,0,227,36,-2883,-2111
4524189570,1,17,4,1,5,2,6,1,1,0,218,51,1703,1696,15,2,0,2,5,2,0,0,0,206,48,-1703,-1696
4503380070,0,12,3,0,6,4,7,0,0,0,203,32,608,-85,19,2,1,4,6,4,1,0,0,206,44,-608,85
4497858921,0,15,2,1,5,4,4,0,0,0,201,45,71,-359,14,1,0,4,5,4,1,0,0,222,38,-71,359
4509242024,1,40,2,0,6,4,4,0,0,0,204,56,275,872,15,1,1,4,6,5,1,0,0,223,62,-275,-872
4524296550,0,24,3,0,3,4,6,0,0,0,235,52,-809,638,17,2,1,4,3,7,1,1,0,218,50,809,-638
4516034199,0,12,4,0,2,8,2,1,0,0,217,84,-2771,-1125,14,2,1,8,2,5,0,0,0,234,64,2771,1125
4504386463,0,20,2,1,5,6,4,0,1,0,203,48,-1730,-1236,40,4,0,6,5,6,1,0,0,214,67,1730,1236
4523799496,0,11,3,0,7,9,5,0,1,0,234,68,-904,1377,18,1,1,9,7,9,1,0,0,227,40,904,-1377
4379931850,0,18,2,0,3,6,3,0,1,0,213,48,-1683,-1363,36,3,1,6,3,6,1,0,0,236,44,1683,1363
4523858150,0,28,3,0,4,11,3,0,0,0,222,48,-3025,-1833,41,0,1,11,4,16,1,0,0,213,39,3025,1833
4459778854,1,36,1,0,10,6,12,0,0,0,231,44,3004,2300,16,2,1,6,10,7,0,0,0,185,39,-3004,-2300
4499523222,1,18,3,0,9,6,14,1,0,0,204,36,1574,761,17,2,1,6,9,6,0,0,0,194,54,-1574,-761
4477029310,1,12,2,1,5,5,3,0,0,0,233,16,-1036,-1423,19,1,0,5,5,4,0,0,0,221,44,1036,1423
